id_cliente,competencia,data_hora,id_produto,status,tipo_lancamento,id,estabelecimento,valor
2b162060,2022-01,2022-01-01 04:30:00.000,007c2c1c,APROVADA,DEBITO,59d592b6-bda7-44b9-b0ae-d8f2822cc802,Salão de beleza,11
2b162060,2022-01,2022-01-02 01:30:00.000,007c2c1c,APROVADA,DEBITO,8995d559-1534-4224-98a9-79dcb1b0536b,Padaria,21
2b162060,2022-01,2022-01-03 03:30:00.000,007c2c1c,APROVADA,DEBITO,0cdde7ff-9829-4daa-bed3-9042eb47c33a,Restaurante,25
2b162060,2022-01,2022-01-04 02:30:00.000,007c2c1c,APROVADA,DEBITO,04914e69-dc0d-4d06-9c27-69d88725393b,Posto de gasolina,18
2b162060,2022-01,2022-01-05 04:30:00.000,007c2c1c,APROVADA,DEBITO,aba39fbd-f017-4857-a837-1c37f1693d82,Supermercado,28
2b162060,2022-01,2022-01-06 08:30:00.000,007c2c1c,APROVADA,DEBITO,cf514850-e8c4-4875-bc37-c479f2f2e7bf,Sorveteria,30
2b162060,2022-01,2022-01-07 03:30:00.000,007c2c1c,APROVADA,DEBITO,3df93c68-32b5-4d76-8316-9b985e7233bc,Sorveteria,32
2b162060,2022-01,2022-01-08 01:30:00.000,007c2c1c,APROVADA,DEBITO,511ae165-a7d9-45c9-b62a-046eb46b26af,Loja vestuário,70
2b162060,2022-01,2022-01-09 02:30:00.000,007c2c1c,APROVADA,DEBITO,55085fb7-4df5-43b5-932f-991998543923,Supermercado,30
2b162060,2022-01,2022-01-10 09:30:00.000,007c2c1c,APROVADA,DEBITO,98ec931d-f269-4d7c-9a3a-5ce1b1da1d8b,Posto de gasolina,14
2b162060,2022-01,2022-01-11 01:30:00.000,007c2c1c,APROVADA,DEBITO,bed12245-b7ba-48b2-82b9-d1a8148d0535,Supermercado,11
2b162060,2022-01,2022-01-12 02:30:00.000,007c2c1c,APROVADA,DEBITO,ed14fbd5-a510-4d83-beaf-de3481bfb891,Loja vestuário,32
2b162060,2022-01,2022-01-13 01:30:00.000,007c2c1c,APROVADA,DEBITO,a898f2a6-5936-4d40-9a56-c88c810d6111,Posto de gasolina,16
2b162060,2022-01,2022-01-14 06:30:00.000,007c2c1c,APROVADA,DEBITO,727b3f1d-b466-400d-9de0-ca06306d29e8,Posto de gasolina,17
2b162060,2022-01,2022-01-15 01:30:00.000,007c2c1c,APROVADA,DEBITO,93e2af4f-f478-46a9-ac7f-d539f4f6f671,Posto de gasolina,13
2b162060,2022-01,2022-01-16 08:30:00.000,007c2c1c,APROVADA,DEBITO,5694404a-a248-4fbd-aeee-8cc741f2ebb8,Posto de gasolina,28
2b162060,2022-01,2022-01-17 03:30:00.000,007c2c1c,APROVADA,DEBITO,2bc15cd9-9c38-4917-a2a4-cde358b9294f,Supermercado,37
2b162060,2022-01,2022-01-18 02:30:00.000,007c2c1c,APROVADA,DEBITO,ba3f539c-cf27-4415-8e16-2e3fd94a854a,Posto de gasolina,21
2b162060,2022-01,2022-01-19 01:30:00.000,007c2c1c,APROVADA,DEBITO,8f6b0c0e-b4ea-4270-9619-d2770eb5395e,Supermercado,29
2b162060,2022-01,2022-01-20 02:30:00.000,007c2c1c,APROVADA,DEBITO,5c583c53-115a-45ee-98e3-f28915bfeda1,Posto de gasolina,21
2b162060,2022-01,2022-01-21 02:30:00.000,007c2c1c,APROVADA,DEBITO,51f6b95f-e63b-4f9f-89ad-66d9f2bea660,Salão de beleza,21
2b162060,2022-01,2022-01-22 02:30:00.000,007c2c1c,APROVADA,DEBITO,e5466b66-8afc-46c1-87bf-1c503d83f318,Farmácia,20
2b162060,2022-01,2022-01-23 01:30:00.000,007c2c1c,APROVADA,DEBITO,90a7af0a-4902-4d47-8720-f44f91fa38a6,Padaria,27
2b162060,2022-01,2022-01-24 01:30:00.000,007c2c1c,APROVADA,DEBITO,2682144f-8b8d-427c-be49-770fb4ea66b0,Padaria,14
2b162060,2022-01,2022-01-25 01:30:00.000,007c2c1c,APROVADA,DEBITO,f6ff2672-e36a-4e1e-8c88-f06d9bcd5c1d,Loja vestuário,15
2b162060,2022-01,2022-01-26 01:30:00.000,007c2c1c,RECUSADA,DEBITO,51d4071c-1bf5-4319-a5aa-c7395de8e823,Posto de gasolina,32
2b162060,2022-01,2022-01-27 02:30:00.000,007c2c1c,APROVADA,DEBITO,ad2e9b33-c4ed-4aa1-b12b-d0db89fe5171,Loja vestuário,68
2b162060,2022-01,2022-01-28 01:30:00.000,007c2c1c,APROVADA,DEBITO,1b009a03-8be0-4ca0-87ef-ae4a4b1fd6db,Supermercado,66
2b162060,2022-01,2022-01-01 01:30:00.000,007c2c1c,APROVADA,DEBITO,599d23b7-51e2-4879-8ed3-43a2efba0e72,Posto de gasolina,25
2b162060,2022-01,2022-01-02 04:30:00.000,007c2c1c,APROVADA,DEBITO,b4811c58-cf30-4c9e-ab82-a0d667c04187,Supermercado,25
2b162060,2022-01,2022-01-03 02:30:00.000,007c2c1c,RECUSADA,DEBITO,dd832eae-0c86-4cbe-a333-1e27fe7655f2,Posto de gasolina,14
2b162060,2022-01,2022-01-04 06:30:00.000,007c2c1c,APROVADA,DEBITO,83551934-1627-44aa-bd17-336abfd38f02,Loja vestuário,31
2b162060,2022-01,2022-01-05 01:30:00.000,007c2c1c,APROVADA,DEBITO,9aa47895-ddfd-46a5-8b06-7516898f039d,Supermercado,28
2b162060,2022-01,2022-01-06 01:30:00.000,007c2c1c,APROVADA,DEBITO,2149774a-6fc2-4fe0-9a10-9e80f43c5b4e,Loja de departamentos,31
2b162060,2022-01,2022-01-07 02:30:00.000,007c2c1c,APROVADA,DEBITO,1141c833-cb64-48c3-aba3-b56ea9617715,Posto de gasolina,59
2b162060,2022-01,2022-01-08 02:30:00.000,007c2c1c,APROVADA,DEBITO,24a5e157-cd5b-4ddd-9ea0-6b496a410b15,Posto de gasolina,14
2b162060,2022-01,2022-01-09 04:30:00.000,007c2c1c,APROVADA,DEBITO,70666318-fcf3-4473-aceb-9a44d96f8ea2,Posto de gasolina,21
